Date,Content Idea,Tailored Caption,Photo Suggestion,Post Type,Prewritten Caption,Batching Schedule
4/2/25,“I move to stay grounded.” Comeback post with gritty outdoor shot.,I move to stay grounded.,"Scenic outdoor shot with you and your bike, moody lighting",Post,"I haven’t stopped moving — I just stepped back to ask better questions. What am I building? Who am I becoming? This page is shifting. Same grit, new mission.",Week 1 (Apr 1–6)
4/4/25,“4 non-negotiables that keep me dialed in.”,4 non-negotiables that keep me dialed in.,"Flat lay of your non-negotiables: journal, shoes, gear, etc.",Carousel,These are the 4 things that keep me locked in when life tries to pull me off track. Discipline. Movement. Time in nature. And staying close to my purpose.,Week 1 (Apr 1–6)
4/6/25,“Clarity is earned in motion.”,Clarity is earned in motion.,Minimalist image: open road or blurred forest,Post,Clarity doesn’t come from thinking — it comes from moving. Long ride. Quiet head. Full heart.,Week 1 (Apr 1–6)
4/8/25,What I eat before a long ride or hike.,What I eat before a long ride or hike.,Shot of pre-ride meal or fueling setup,Photo,This isn’t about performance fuel. It’s about showing up for the next ride. The next rep. The next challenge. #MovementIsMedicine,Week 2 (Apr 7–13)
4/10/25,Training journal or notes on goals.,Training journal or notes on goals.,Notebook/journal entry or whiteboard notes with goals,Carousel,"Every goal starts on paper. I track my rides, my thoughts, my wins and losses. If you’re not writing it down, are you even serious?",Week 2 (Apr 7–13)
4/12/25,Ride montage w/ voiceover: “Movement. Mindset. Mission. Adventure.”,Ride montage w/ voiceover: Movement. Mindset. Mission. Adventure.,"Reel with nature shots, voiceover montage",Reel,Movement. Mindset. Mission. Adventure. That’s what I’m building. That’s what I’m inviting you into. Stay with me.,Week 2 (Apr 7–13)
4/14/25,"“3 pillars of self-leadership” – Structure, Purpose, Grit.",3 pillars of self-leadership,Side shot of you riding or climbing a hill,Carousel,Structure. Purpose. Grit. Those 3 things will carry you farther than any motivation ever will. Ride with intention.,Week 2 (Apr 7–13)
4/16/25,“You don’t need permission to take the lead in your own life.”,You don’t need permission to take the lead in your own life.,Bold typography quote over a muted ride photo,Quote Graphic,You don’t need more hacks. You need more consistency. Make a plan. Stick to it. Rebuild trust with yourself.,Week 3 (Apr 14–20)
4/18/25,Stillness shot — outdoors. Caption: “Rest is part of the work.”,Stillness shot — outdoors. Caption: Rest is part of the work.,Photo of you sitting in stillness post-ride or stretching outdoors,Reel,Not every ride is for speed. Some are for silence. Some are for sanity. Some are just to remind yourself you’re still in it.,Week 3 (Apr 14–20)
4/20/25,“Training through seasons — physically & mentally.”,Training through seasons — physically & mentally.,"Riding in the rain, snow, or early morning fog",Story Q&A,"Ask me anything: training, mindset, discipline, recovery, or what it takes to get to 100 miles (and beyond). Let’s talk.",Week 3 (Apr 14–20)
4/22/25,“Movement as medicine.” Show nature + motion.,Movement as medicine.,Trail shot with movement blur or wide mountain view,Post,Movement isn’t a hobby — it’s my reset. My therapy. My way of connecting to something deeper. You don’t need to love it. You just need to respect what it gives you.,Week 4 (Apr 21–27)
4/24/25,"Day in the life: work, family, movement.","Day in the life: work, family, movement.",Time-lapse or multi-clip reel of balancing daily life + training,Reel,"A quick look at how I balance coaching, work, movement, and life. It’s messy. It’s real. And it works because I show up anyway.",Week 4 (Apr 21–27)
4/28/25,Ride reflection — voiceover or caption: “Here’s what hit me today…”,Ride reflection — voiceover or caption: Here’s what hit me today…,Voiceover on top of scenic drone footage or still riding shots,Voiceover Story,Today’s ride brought this up: You’re either building discipline… or letting distraction win. Choose wisely.,Week 4 (Apr 21–27)
4/30/25,Tease your upcoming launch: “Something big is coming…”,Tease your upcoming launch: Something big is coming…,"Teaser shot: darkened workspace, sketchpad, whiteboard, etc.",Announcement Post,This isn’t just a comeback. It’s a launch. Something new is coming. For those ready to lead themselves. Let’s go.,Week 5 (Apr 28–30)
